,0
cat__CustomerId_CustomerId_1641,0.0
cat__CustomerId_CustomerId_1645,0.0
cat__CustomerId_CustomerId_1647,0.0
cat__CustomerId_CustomerId_1649,0.0
cat__CustomerId_CustomerId_1652,0.0
cat__CustomerId_CustomerId_1653,0.0
cat__CustomerId_CustomerId_1655,0.0
cat__CustomerId_CustomerId_1656,0.0
cat__CustomerId_CustomerId_1657,0.0
cat__CustomerId_CustomerId_1658,0.0
cat__CustomerId_CustomerId_1661,0.0
cat__CustomerId_CustomerId_1663,0.0
cat__CustomerId_CustomerId_1669,0.0
cat__CustomerId_CustomerId_1670,0.0
cat__CustomerId_CustomerId_1671,0.0
cat__CustomerId_CustomerId_1674,0.0
cat__CustomerId_CustomerId_1679,0.0
cat__CustomerId_CustomerId_1680,0.0
cat__CustomerId_CustomerId_1681,0.0
cat__CustomerId_CustomerId_1683,0.0
cat__CustomerId_CustomerId_1684,0.0
cat__CustomerId_CustomerId_1687,0.0
cat__CustomerId_CustomerId_1688,0.0
cat__CustomerId_CustomerId_1690,0.0
cat__CustomerId_CustomerId_1694,0.0
cat__CustomerId_CustomerId_1695,0.0
cat__CustomerId_CustomerId_1696,0.0
cat__CustomerId_CustomerId_1697,0.0
cat__CustomerId_CustomerId_1698,0.0
cat__CustomerId_CustomerId_1701,0.0
cat__CustomerId_CustomerId_1702,0.0
cat__CustomerId_CustomerId_1703,0.0
cat__CustomerId_CustomerId_1705,0.0
cat__CustomerId_CustomerId_1707,0.0
cat__CustomerId_CustomerId_1708,0.0
cat__CustomerId_CustomerId_1709,0.0
cat__CustomerId_CustomerId_1713,0.0
cat__CustomerId_CustomerId_1714,0.0
cat__CustomerId_CustomerId_1716,0.0
cat__CustomerId_CustomerId_1719,0.0
cat__CustomerId_CustomerId_1721,0.0
cat__CustomerId_CustomerId_1722,0.0
cat__CustomerId_CustomerId_1723,0.0
cat__CustomerId_CustomerId_1725,0.0
cat__CustomerId_CustomerId_1726,0.0
cat__CustomerId_CustomerId_1728,0.0
cat__CustomerId_CustomerId_1730,0.0
cat__CustomerId_CustomerId_1732,0.0
cat__CustomerId_CustomerId_1733,0.0
cat__CustomerId_CustomerId_1735,0.0
cat__CustomerId_CustomerId_1739,0.0
cat__CustomerId_CustomerId_1741,0.0
cat__CustomerId_CustomerId_1742,0.0
cat__CustomerId_CustomerId_1744,0.0
cat__CustomerId_CustomerId_1748,0.0
cat__CustomerId_CustomerId_1749,0.0
cat__CustomerId_CustomerId_1750,0.0
cat__CustomerId_CustomerId_1752,0.0
cat__CustomerId_CustomerId_1753,0.0
cat__CustomerId_CustomerId_1756,0.0
cat__CustomerId_CustomerId_1757,0.0
cat__CustomerId_CustomerId_1758,0.0
cat__CustomerId_CustomerId_1759,0.0
cat__CustomerId_CustomerId_1762,0.0
cat__CustomerId_CustomerId_1763,0.0
cat__CustomerId_CustomerId_1764,0.0
cat__CustomerId_CustomerId_1767,0.0
cat__CustomerId_CustomerId_1768,0.0
cat__CustomerId_CustomerId_1769,0.0
cat__CustomerId_CustomerId_1770,0.0
cat__CustomerId_CustomerId_1773,0.0
cat__CustomerId_CustomerId_1776,0.0
cat__CustomerId_CustomerId_1784,0.0
cat__CustomerId_CustomerId_1786,0.0
cat__CustomerId_CustomerId_1791,0.0
cat__CustomerId_CustomerId_1792,0.0
cat__CustomerId_CustomerId_1794,0.0
cat__CustomerId_CustomerId_1797,0.0
cat__CustomerId_CustomerId_1798,0.0
cat__CustomerId_CustomerId_1800,0.0
cat__CustomerId_CustomerId_1801,0.0
cat__CustomerId_CustomerId_1802,0.0
cat__CustomerId_CustomerId_1805,0.0
cat__CustomerId_CustomerId_1806,0.0
cat__CustomerId_CustomerId_1809,0.0
cat__CustomerId_CustomerId_1810,0.0
cat__CustomerId_CustomerId_1811,0.0
cat__CustomerId_CustomerId_1812,0.0
cat__CustomerId_CustomerId_1813,0.0
cat__CustomerId_CustomerId_1815,0.0
cat__CustomerId_CustomerId_1817,0.0
cat__CustomerId_CustomerId_1820,0.0
cat__CustomerId_CustomerId_1825,0.0
cat__CustomerId_CustomerId_1828,0.0
cat__CustomerId_CustomerId_1830,0.0
cat__CustomerId_CustomerId_1831,0.0
cat__CustomerId_CustomerId_1833,0.0
cat__CustomerId_CustomerId_1835,0.0
cat__CustomerId_CustomerId_1836,0.0
cat__CustomerId_CustomerId_1839,0.0
cat__CustomerId_CustomerId_1841,0.0
cat__CustomerId_CustomerId_1845,0.0
cat__CustomerId_CustomerId_1848,0.0
cat__CustomerId_CustomerId_1849,0.0
cat__CustomerId_CustomerId_1850,0.0
cat__CustomerId_CustomerId_1853,0.0
cat__CustomerId_CustomerId_1855,0.0
cat__CustomerId_CustomerId_1856,0.0
cat__CustomerId_CustomerId_1859,0.0
cat__CustomerId_CustomerId_1860,0.0
cat__CustomerId_CustomerId_1861,0.0
cat__CustomerId_CustomerId_1862,0.0
cat__CustomerId_CustomerId_1864,0.0
cat__CustomerId_CustomerId_1867,0.0
cat__CustomerId_CustomerId_1870,0.0
cat__CustomerId_CustomerId_1871,0.0
cat__CustomerId_CustomerId_1872,0.0
cat__CustomerId_CustomerId_1873,0.0
cat__CustomerId_CustomerId_1874,0.0
cat__CustomerId_CustomerId_1875,0.0
cat__CustomerId_CustomerId_1876,0.0
cat__CustomerId_CustomerId_1877,0.0
cat__CustomerId_CustomerId_1879,0.0
cat__CustomerId_CustomerId_1881,0.0
cat__CustomerId_CustomerId_1882,0.0
cat__CustomerId_CustomerId_1885,0.0
cat__CustomerId_CustomerId_1886,0.0
cat__CustomerId_CustomerId_1887,0.0
cat__CustomerId_CustomerId_1888,0.0
cat__CustomerId_CustomerId_1891,0.0
cat__CustomerId_CustomerId_1892,0.0
cat__CustomerId_CustomerId_1895,0.0
cat__CustomerId_CustomerId_1899,0.0
cat__CustomerId_CustomerId_1900,0.0
cat__CustomerId_CustomerId_1901,0.0
cat__CustomerId_CustomerId_1906,0.0
cat__CustomerId_CustomerId_1911,0.0
cat__CustomerId_CustomerId_1913,0.0
cat__CustomerId_CustomerId_1914,0.0
cat__CustomerId_CustomerId_1915,0.0
cat__CustomerId_CustomerId_1916,0.0
cat__CustomerId_CustomerId_1917,0.0009693386267296449
cat__CustomerId_CustomerId_1918,0.0
cat__CustomerId_CustomerId_1919,0.0
cat__CustomerId_CustomerId_1922,0.0
cat__CustomerId_CustomerId_1923,0.0
cat__CustomerId_CustomerId_1927,0.0
cat__CustomerId_CustomerId_1928,0.0
cat__CustomerId_CustomerId_1929,0.0
cat__CustomerId_CustomerId_1930,0.0
cat__CustomerId_CustomerId_1931,0.0
cat__CustomerId_CustomerId_1935,0.0
cat__CustomerId_CustomerId_1937,0.0
cat__CustomerId_CustomerId_1942,0.0007138750661207002
cat__CustomerId_CustomerId_1943,0.0
cat__CustomerId_CustomerId_1944,0.0
cat__CustomerId_CustomerId_1945,0.0
cat__CustomerId_CustomerId_1950,0.0
cat__CustomerId_CustomerId_1951,0.0
cat__CustomerId_CustomerId_1956,0.0
cat__CustomerId_CustomerId_1961,0.0
cat__CustomerId_CustomerId_1963,0.0
cat__CustomerId_CustomerId_1965,0.0
cat__CustomerId_CustomerId_1967,0.0
cat__CustomerId_CustomerId_1969,0.0
cat__CustomerId_CustomerId_1970,0.0
cat__CustomerId_CustomerId_1971,0.0
cat__CustomerId_CustomerId_1972,0.0007874552826226091
cat__CustomerId_CustomerId_1973,0.0
cat__CustomerId_CustomerId_1974,0.0
cat__CustomerId_CustomerId_1975,0.0
cat__CustomerId_CustomerId_1976,0.0
cat__CustomerId_CustomerId_1979,0.0
cat__CustomerId_CustomerId_1980,0.0
cat__CustomerId_CustomerId_1983,0.0
cat__CustomerId_CustomerId_1984,0.0
cat__CustomerId_CustomerId_1985,0.0
cat__CustomerId_CustomerId_1986,0.0008116010214928358
cat__CustomerId_CustomerId_1987,0.0
cat__CustomerId_CustomerId_1988,0.0
cat__CustomerId_CustomerId_1990,0.0
cat__CustomerId_CustomerId_1991,0.0
cat__CustomerId_CustomerId_1994,0.0
cat__CustomerId_CustomerId_1995,0.0
cat__CustomerId_CustomerId_1997,0.0
cat__CustomerId_CustomerId_1998,0.0
cat__CustomerId_CustomerId_1999,0.0
cat__CustomerId_CustomerId_2,0.0
cat__CustomerId_CustomerId_2002,0.0
cat__CustomerId_CustomerId_2003,0.0
cat__CustomerId_CustomerId_2004,0.0
cat__CustomerId_CustomerId_2007,0.0
cat__CustomerId_CustomerId_2008,0.0
